INFO - 2025-01-24 13:26:44,264s: task_1 | None | Directory | outputs
INFO - 2025-01-24 13:26:44,265s: task_5 | None | Directory | outputs
INFO - 2025-01-24 13:26:44,266s: debug_info | log | Directory | task_1s
INFO - 2025-01-24 13:26:44,267s: warnings_errors | log | Directory | task_1s
INFO - 2025-01-24 13:26:44,268s: info | log | Directory | task_5s
INFO - 2025-01-24 13:27:18,666s: task_1 | None | Directory | output
INFO - 2025-01-24 13:27:18,667s: task_5 | None | Directory | output
INFO - 2025-01-24 13:27:18,668s: debug_info | log | Directory | task_1
INFO - 2025-01-24 13:27:18,668s: warnings_errors | log | Directory | task_1
INFO - 2025-01-24 13:27:18,669s: info | log | Directory | task_5
INFO - 2025-01-24 13:29:42,981s: task_1 | None | Directory | output
INFO - 2025-01-24 13:29:42,986s: task_5 | None | Directory | output
INFO - 2025-01-24 13:29:42,987s: debug_info | log | File | task_1
INFO - 2025-01-24 13:29:42,988s: warnings_errors | log | File | task_1
INFO - 2025-01-24 13:29:43,008s: info | log | File | task_5
INFO - 2025-01-24 13:30:16,526s: task_1 | N/A | Directory | output
INFO - 2025-01-24 13:30:16,526s: task_5 | N/A | Directory | output
INFO - 2025-01-24 13:30:16,527s: debug_info | log | File | task_1
INFO - 2025-01-24 13:30:16,527s: warnings_errors | log | File | task_1
INFO - 2025-01-24 13:30:16,528s: info | log | File | task_5
INFO - 2025-01-24 13:31:03,418s: task_1 | N/A | Directory | output
INFO - 2025-01-24 13:31:03,423s: task_5 | N/A | Directory | output
INFO - 2025-01-24 13:31:03,425s: debug_info | log | File | task_1
INFO - 2025-01-24 13:31:03,426s: warnings_errors | log | File | task_1
INFO - 2025-01-24 13:31:03,427s: info | log | File | task_5
INFO - 2025-01-24 13:33:17,537s: task_1 | N/A | Directory | output
INFO - 2025-01-24 13:33:17,538s: task_5 | N/A | Directory | output
INFO - 2025-01-24 13:33:17,539s: debug_info | log | File | task_1
INFO - 2025-01-24 13:33:17,539s: warnings_errors | log | File | task_1
INFO - 2025-01-24 13:33:17,540s: info | log | File | task_5
INFO - 2025-01-24 13:35:26,077s: task_1 | N/A | Directory | output
INFO - 2025-01-24 13:35:26,078s: task_5 | N/A | Directory | output
INFO - 2025-01-24 13:35:26,099s: debug_info | log | File | task_1
INFO - 2025-01-24 13:35:26,100s: warnings_errors | log | File | task_1
INFO - 2025-01-24 13:35:26,109s: info | log | File | task_5
